periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cas suspects de paludismes vus dans les structures de santé,Cas suspects de paludisme vu par les ASC,Cas suspects de paludisme ayant été testés par GE/FM,Cas suspects de paludisme ayant été testés par TDR,Cas de paludisme simple confirmés par GE/FM dans les structures santé,Cas de paludisme simple confirmé par les ASC (TDR+),Cas de paludisme simple confirmés par TDR dans les structures santé,Cas de paludisme simple traité avec les CTA dans les structures de santé,Cas de paludisme simple confirmés traités avec CTA par les ASC,Cas de paludisme grave confirmés par GE/FM dans les structures de santé,Cas de paludisme grave confirmés par TDR dans les structures santé,Cas de paludisme grave confirmé traité (Artesunate ou Arthemeter ou Quinine injectable),Cas presumés de paludisme grave par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme simple par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme par diagnostic clinique (cas testés négatifs traités et non testés traités par CTA) par les ASC
202404,Avril 2024,202404,,Mali,Bandiagara,District Bandiagara,ttG2x2sOEuw,District Bandiagara,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,KWOoDmCIZ7p,Publique,,,1324,445,46,1273,21,90,258,279,90,16,81,97,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,KWOoDmCIZ7p,Publique,,,4057,385,566,3496,235,233,1182,1375,233,106,649,796,6,55,0
202404,Avril 2024,202404,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,KWOoDmCIZ7p,Publique,,,486,,,486,0,,388,388,,0,45,45,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,KWOoDmCIZ7p,Publique,,,97,,,97,0,,27,27,,0,3,3,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,KWOoDmCIZ7p,Publique,,,1963,256,246,1708,68,193,835,903,193,171,281,452,18,42,
202404,Avril 2024,202404,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,KWOoDmCIZ7p,Publique,,,248,70,,248,0,12,60,60,12,0,31,31,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,KWOoDmCIZ7p,Publique,,,621,138,0,621,0,74,267,267,74,0,51,51,0,0,0
202404,Avril 2024,202404,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,KWOoDmCIZ7p,Publique,,,199,65,,199,0,40,101,101,40,0,8,8,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,KWOoDmCIZ7p,Publique,,,2743,204,224,2519,19,127,1445,1464,127,6,332,338,0,0,0
202404,Avril 2024,202404,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,uD2y9P4ErAF,Confessionnel,,,14,,,14,0,,6,6,,0,0,0,,,
202404,Avril 2024,202404,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,KWOoDmCIZ7p,Publique,,,187,,,187,0,,54,54,,0,25,25,,,
202404,Avril 2024,202404,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,KWOoDmCIZ7p,Publique,,,1408,,126,1336,93,,625,718,,30,211,241,18,43,
202404,Avril 2024,202404,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,KWOoDmCIZ7p,Publique,,,602,294,142,393,12,92,53,55,92,95,50,145,22,37,
202404,Avril 2024,202404,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,KWOoDmCIZ7p,Publique,,,824,22,,824,0,5,141,141,5,0,108,108,,,
202404,Avril 2024,202404,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,KWOoDmCIZ7p,Publique,,,327,62,14,323,14,34,125,139,34,0,33,33,,25,
202404,Avril 2024,202404,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,KWOoDmCIZ7p,Publique,,,1534,441,,1534,0,130,327,327,130,0,68,68,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,KWOoDmCIZ7p,Publique,,,130,13,7,126,0,2,14,14,2,0,6,6,,,
202404,Avril 2024,202404,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,KWOoDmCIZ7p,Publique,,,1227,17,,1227,0,8,132,132,8,0,3,3,,,
202404,Avril 2024,202404,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Didiéni,oIFDpYTGBQO,District Didiéni,,,KWOoDmCIZ7p,Publique,,,698,52,238,473,88,22,117,210,22,51,54,105,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Didiéni,oIFDpYTGBQO,District Didiéni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Didiéni,oIFDpYTGBQO,District Didiéni,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Diema,UyyD8LAWMRr,District Diema,,,KWOoDmCIZ7p,Publique,,,2448,40,259,2189,65,13,273,338,13,24,77,101,,10,
202404,Avril 2024,202404,,Mali,Nioro,District Diema,UyyD8LAWMRr,District Diema,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nioro,District Diema,UyyD8LAWMRr,District Diema,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Dilly,HDkwiCbXGJv,District Dilly,,,KWOoDmCIZ7p,Publique,,,817,42,,817,0,42,410,410,42,0,303,303,,,
202404,Avril 2024,202404,,Mali,Nara,District Dilly,HDkwiCbXGJv,District Dilly,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Dilly,HDkwiCbXGJv,District Dilly,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Dioila,KC1X5O548TB,District Dioila,,,KWOoDmCIZ7p,Publique,,,2014,794,549,1465,257,461,505,762,461,204,222,426,,,
202404,Avril 2024,202404,,Mali,Dioila,District Dioila,KC1X5O548TB,District Dioila,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Dioila,KC1X5O548TB,District Dioila,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Dioro,UBKGngSPx1z,District Dioro,,,KWOoDmCIZ7p,Publique,,,924,579,114,800,41,397,196,237,397,45,214,259,0,0,0
202404,Avril 2024,202404,,Mali,Ségou,District Dioro,UBKGngSPx1z,District Dioro,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Dioro,UBKGngSPx1z,District Dioro,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Diré,bmoif0n6BVl,District Diré,,,KWOoDmCIZ7p,Publique,,,4306,,651,3303,279,,2024,2303,,317,241,558,24,172,
202404,Avril 2024,202404,,Mali,Tombouctou,District Diré,bmoif0n6BVl,District Diré,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Diré,bmoif0n6BVl,District Diré,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Djebock,MDBrPljyqbG,District Djebock,,,KWOoDmCIZ7p,Publique,,,125,3,,102,0,1,68,68,1,0,1,1,6,17,4
202404,Avril 2024,202404,,Mali,Gao,District Djebock,MDBrPljyqbG,District Djebock,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Djebock,MDBrPljyqbG,District Djebock,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Mopti,District Djenné,O9tXjlPUnNE,District Djenné,,,KWOoDmCIZ7p,Publique,,,3175,1352,256,2943,70,759,1301,1371,759,80,827,907,,,
202404,Avril 2024,202404,,Mali,Mopti,District Djenné,O9tXjlPUnNE,District Djenné,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Mopti,District Djenné,O9tXjlPUnNE,District Djenné,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Dogo,CCccx6jm0ML,District Dogo,,,KWOoDmCIZ7p,Publique,,,586,57,,586,0,33,266,266,33,0,111,111,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Dogo,CCccx6jm0ML,District Dogo,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Dogo,CCccx6jm0ML,District Dogo,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Douentza,E62kOlA1JXK,District Douentza,,,KWOoDmCIZ7p,Publique,,,1291,391,84,1207,4,225,281,285,225,4,207,211,,,
202404,Avril 2024,202404,,Mali,Douentza,District Douentza,E62kOlA1JXK,District Douentza,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Douentza,E62kOlA1JXK,District Douentza,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Ersane,X6kBPod3SEl,District Ersane,,,KWOoDmCIZ7p,Publique,,,90,,,90,0,,46,46,,0,11,11,,,
202404,Avril 2024,202404,,Mali,Gao,District Ersane,X6kBPod3SEl,District Ersane,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Ersane,X6kBPod3SEl,District Ersane,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Fakola,oo70dgfozhg,District Fakola,,,KWOoDmCIZ7p,Publique,,,1336,199,,1152,0,180,718,718,180,0,216,216,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Fakola,oo70dgfozhg,District Fakola,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Fakola,oo70dgfozhg,District Fakola,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Fallou,TFC399rbHZr,District Fallou,,,KWOoDmCIZ7p,Publique,,,591,6,,591,0,6,233,233,6,0,224,224,,,
202404,Avril 2024,202404,,Mali,Nara,District Fallou,TFC399rbHZr,District Fallou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Fallou,TFC399rbHZr,District Fallou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Fana,GL7sDu7i7bI,District Fana,,,KWOoDmCIZ7p,Publique,,,2673,563,394,2215,132,303,883,1002,303,126,735,861,148,149,165
202404,Avril 2024,202404,,Mali,Dioila,District Fana,GL7sDu7i7bI,District Fana,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Dioila,District Fana,GL7sDu7i7bI,District Fana,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,San,District Fangasso,svUPsxTJkNW,District Fangasso,,,KWOoDmCIZ7p,Publique,,,969,264,,969,0,217,481,475,217,0,112,112,,10,0
202404,Avril 2024,202404,,Mali,San,District Fangasso,svUPsxTJkNW,District Fangasso,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,San,District Fangasso,svUPsxTJkNW,District Fangasso,,,uD2y9P4ErAF,Confessionnel,,,73,0,,67,0,,4,4,,0,7,7,,,
202404,Avril 2024,202404,,Mali,Ségou,District Farako,fXtruPrYOxs,District Farako,,,KWOoDmCIZ7p,Publique,,,1744,1045,0,1726,0,858,507,503,858,0,347,347,0,6,0
202404,Avril 2024,202404,,Mali,Ségou,District Farako,fXtruPrYOxs,District Farako,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Ségou,District Farako,fXtruPrYOxs,District Farako,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Taoudenni,District Foum-Elba,onwuSYRLt9T,District Foum-Elba,,,KWOoDmCIZ7p,Publique,,,238,,0,238,0,,64,64,,0,36,36,0,0,
202404,Avril 2024,202404,,Mali,Taoudenni,District Foum-Elba,onwuSYRLt9T,District Foum-Elba,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Taoudenni,District Foum-Elba,onwuSYRLt9T,District Foum-Elba,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Gabero,BzppAlNtIrI,District Gabero,,,KWOoDmCIZ7p,Publique,,,711,,111,600,108,,196,304,,3,39,42,,,
202404,Avril 2024,202404,,Mali,Gao,District Gabero,BzppAlNtIrI,District Gabero,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Gabero,BzppAlNtIrI,District Gabero,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Gao,sFOLjjb1rwR,District Gao,,,KWOoDmCIZ7p,Publique,,,4165,,3452,629,1925,,293,2218,,184,98,282,27,34,
202404,Avril 2024,202404,,Mali,Gao,District Gao,sFOLjjb1rwR,District Gao,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Gao,sFOLjjb1rwR,District Gao,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Garalo,kapmYmI1bPP,District Garalo,,,KWOoDmCIZ7p,Publique,,,1359,149,86,1211,82,85,665,747,85,6,115,121,,,7
202404,Avril 2024,202404,,Mali,Bougouni,District Garalo,kapmYmI1bPP,District Garalo,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Garalo,kapmYmI1bPP,District Garalo,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gargando,kbPIRuSRlIj,District Gargando,,,KWOoDmCIZ7p,Publique,,,56,,,56,0,,49,49,,0,0,0,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gargando,kbPIRuSRlIj,District Gargando,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gargando,kbPIRuSRlIj,District Gargando,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gossi,AYSrXqDLsBL,District Gossi,,,KWOoDmCIZ7p,Publique,,,435,,,435,0,,27,27,,0,3,3,4,312,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gossi,AYSrXqDLsBL,District Gossi,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gossi,AYSrXqDLsBL,District Gossi,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Goundam,WlHsVsS8QK2,District Goundam,,,KWOoDmCIZ7p,Publique,,,734,,72,658,42,,379,421,,13,65,78,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Goundam,WlHsVsS8QK2,District Goundam,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Goundam,WlHsVsS8QK2,District Goundam,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gourma-Rharous,iwA9Z0V5reN,District Gourma-Rharous,,,KWOoDmCIZ7p,Publique,,,1317,25,52,1265,27,20,799,826,20,16,84,100,,20,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gourma-Rharous,iwA9Z0V5reN,District Gourma-Rharous,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Tombouctou,District Gourma-Rharous,iwA9Z0V5reN,District Gourma-Rharous,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Guiré,uodXZFhsnW0,District Guiré,,,KWOoDmCIZ7p,Publique,,,226,4,,50,0,,24,24,,0,10,10,10,89,
202404,Avril 2024,202404,,Mali,Nara,District Guiré,uodXZFhsnW0,District Guiré,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Nara,District Guiré,uodXZFhsnW0,District Guiré,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Hombori,QGg41UOfUOh,District Hombori,,,KWOoDmCIZ7p,Publique,,,148,20,,148,0,10,62,62,10,0,32,32,,,
202404,Avril 2024,202404,,Mali,Douentza,District Hombori,QGg41UOfUOh,District Hombori,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Douentza,District Hombori,QGg41UOfUOh,District Hombori,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Menaka,District Inekar,yhyfRmQvX5N,District Inekar,,,KWOoDmCIZ7p,Publique,,,299,,,265,0,,114,114,,0,10,10,,34,
202404,Avril 2024,202404,,Mali,Menaka,District Inekar,yhyfRmQvX5N,District Inekar,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Menaka,District Inekar,yhyfRmQvX5N,District Inekar,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Menaka,District Inlamawane,FVczuHiAzvJ,District Inlamawane,,,KWOoDmCIZ7p,Publique,,,320,,,169,0,,55,55,,0,0,0,,,
202404,Avril 2024,202404,,Mali,Menaka,District Inlamawane,FVczuHiAzvJ,District Inlamawane,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Menaka,District Inlamawane,FVczuHiAzvJ,District Inlamawane,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Kadiana,VkeGOYaCQzI,District Kadiana,,,KWOoDmCIZ7p,Publique,,,815,73,203,607,85,30,164,249,30,106,134,240,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Kadiana,VkeGOYaCQzI,District Kadiana,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bougouni,District Kadiana,VkeGOYaCQzI,District Kadiana,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Sikasso,District Kadiolo,qVTisVWULds,District Kadiolo,,,KWOoDmCIZ7p,Publique,,,4579,354,1674,2922,978,243,1600,2578,243,236,446,682,24,112,
202404,Avril 2024,202404,,Mali,Sikasso,District Kadiolo,qVTisVWULds,District Kadiolo,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Sikasso,District Kadiolo,qVTisVWULds,District Kadiolo,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Kangaba,deyCj055y0s,District Kangaba,,,KWOoDmCIZ7p,Publique,,,7849,608,2439,5410,1767,311,1843,3596,311,391,200,591,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Kangaba,deyCj055y0s,District Kangaba,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Koulikoro,District Kangaba,deyCj055y0s,District Kangaba,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Kani-Gogouna,cYHJvUpFpHm,District Kani-Gogouna,,,KWOoDmCIZ7p,Publique,,,292,35,,292,0,22,85,85,22,0,10,10,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Kani-Gogouna,cYHJvUpFpHm,District Kani-Gogouna,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Bandiagara,District Kani-Gogouna,cYHJvUpFpHm,District Kani-Gogouna,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Kasanbere,GUTO4bhK4sv,District Kasanbere,,,KWOoDmCIZ7p,Publique,,,20,,,20,0,,12,12,,0,5,5,,,
202404,Avril 2024,202404,,Mali,Gao,District Kasanbere,GUTO4bhK4sv,District Kasanbere,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202404,Avril 2024,202404,,Mali,Gao,District Kasanbere,GUTO4bhK4sv,District Kasanbere,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
